Date,Open,High,Low,Close
01 July 2005,13,14,11.25,12.46
01 August 2005,12.58,14.88,12.55,13.42
01 September 2005,13.48,14.87,12.27,13.3
01 October 2005,13.2,14.47,12.4,12.99
01 November 2005,13.35,13.88,12.88,13.41
01 December 2005,13.49,14.44,13,13.71
01 January 2006,13.68,17.16,13.58,15.33
01 February 2006,15.5,16.97,15.4,16.12
01 March 2006,16.2,20.95,16.02,20.08
01 April 2006,20.56,20.8,18.02,19.49
01 May 2006,19.8,21.8,15.8,18.03
01 June 2006,18.2,18.4,13.4,15.62
01 July 2006,16,17.2,13.82,16.16
01 August 2006,15.9,18.6,15.7,17.84
01 September 2006,18,18.88,16.8,18.46
01 October 2006,18.78,24.2,18.5,22.78
01 November 2006,22.8,28.47,21.4,25.32
01 December 2006,25.4,29.66,24.4,26.97
01 January 2007,27.4,34.16,27,30.16
01 February 2007,30.2,32.6,26.8,28.63
01 March 2007,29.3,31.58,23.31,28.14
01 April 2007,27,31.99,26.2,30.31
01 May 2007,30.66,36.14,29.11,33.51
01 June 2007,33.89,36.38,30.4,35.98
01 July 2007,35.98,41.04,35.02,37.93
01 August 2007,37.5,39,30.2,36.99
01 September 2007,37.4,41.75,35.3,41.36
01 October 2007,41.8,47.3,33.6,43.48
01 November 2007,44.4,50.98,40.02,46.18
01 December 2007,46.4,54,45,49.81
01 January 2008,49.99,55.56,30.24,50.54
01 February 2008,50.88,53.97,44.4,49.42
01 March 2008,48.9,48.9,24.11,33.75
01 April 2008,33.9,35.8,28.51,34.06
01 May 2008,34.3,36.88,30.03,31.13
01 June 2008,31.22,32.22,22.62,22.85
01 July 2008,22.85,30.5,20.4,25.45
01 August 2008,25,28.98,24.62,26.83
01 September 2008,26.68,29.8,21.7,24.13
01 October 2008,24.6,25,11.01,13.58
01 November 2008,14.79,17.8,11.25,12.26
01 December 2008,12.4,16.56,11.13,15.03
01 January 2009,15.28,18.34,11.48,12.24
01 February 2009,12.19,12.5,9.9,10.26
01 March 2009,10,11.24,8.16,9.98
01 April 2009,10.04,17.51,9.94,15.45
01 May 2009,15.94,28.84,14.76,25.12
01 June 2009,25.6,31.08,23,29.68
01 July 2009,29.7,33.16,24.83,31.93
01 August 2009,31.98,35.18,29,33.45
01 September 2009,33.8,41.3,32,40.99
01 October 2009,41.2,52.34,36.8,47.31
01 November 2009,46.58,54.98,42.84,50.57
01 December 2009,50.98,55.67,48.6,53.41
01 January 2010,53.6,57.58,46.42,49.84
01 February 2010,49,51.48,44.6,47.32
01 March 2010,47.8,52.06,47.3,50.97
01 April 2010,50.67,59.48,48.8,57.1
01 May 2010,56.94,58.08,50.66,57.57
01 June 2010,56.7,59.9,52.6,53.83
01 July 2010,53.55,60.94,53.02,58.99
01 August 2010,59.4,68.88,59.01,62.22
01 September 2010,62.8,71.74,62.51,70.3
01 October 2010,70.9,76,68.21,71.86
01 November 2010,72.2,77.6,58,61.21
01 December 2010,61.8,68.36,55.44,62.54
01 January 2011,62.98,63.54,49.39,52.59
01 February 2011,53,57.69,46.71,51.29
01 March 2011,51.84,65.2,50.8,61.98
01 April 2011,62,68.26,60.5,61.02
01 May 2011,61.26,61.68,54.5,60.07
01 June 2011,60.4,63.39,54.8,62.38
01 July 2011,63,68,61.36,62.13
01 August 2011,62.9,63.96,50.51,55.61
01 September 2011,56,60.08,51.2,54.5
01 October 2011,53.8,64.8,48.1,62.9
01 November 2011,62.2,63.7,52.04,54.49
01 December 2011,57,59.8,47.4,47.72
01 January 2012,47.92,66.5,46.11,65.99
01 February 2012,65.9,74.8,63.6,69.14
01 March 2012,69,77.88,66.2,73.46
01 April 2012,73.62,76.1,69.11,70.07
01 May 2012,70.4,70.59,58.85,66.02
01 June 2012,65.45,70.6,62.14,67.83
01 July 2012,68.15,73.19,67.57,72.85
01 August 2012,73,74.78,65.27,65.97
01 September 2012,66.2,77.69,64.46,76.44
01 October 2012,76.4,84.2,75.6,82.29
01 November 2012,82.54,89.6,82.22,88.48
01 December 2012,89.2,95,88.01,92.84
01 January 2013,93.2,107,93.2,104.41
01 February 2013,104.41,107.8,93.4,94.5
01 March 2013,94,100.15,83.42,85.71
01 April 2013,85.7,101.8,83.43,100.28
01 May 2013,100.99,109.43,97.2,97.49
01 June 2013,99,102.94,87.15,92.2
01 July 2013,92.4,100.4,57.71,64.76
01 August 2013,66,67.81,43.22,48.65
01 September 2013,49.2,78.94,44.8,57.5
01 October 2013,58,76.44,56.08,73.76
01 November 2013,74,77.27,64.65,73.74
01 December 2013,74.4,83,71.63,74.02
01 January 2014,74.74,76.35,60.8,61.59
01 February 2014,61.54,62.7,58.42,60.95
01 March 2014,60.52,83.36,60.34,82.7
01 April 2014,83.45,94.98,80.8,88.14
01 May 2014,88.8,117.6,86.98,113.89
01 June 2014,114.8,117.57,101.62,108.38
01 July 2014,108.43,114.46,100.44,108.21
01 August 2014,107.4,118.69,103.31,114.33
01 September 2014,114.6,126.85,107.18,111.7
01 October 2014,112.1,137.8,109.2,136.83
01 November 2014,137.1,143.91,132.44,142.08
01 December 2014,142.08,155,134,154.57
01 January 2015,154.4,179,150.47,172.5
01 February 2015,172.5,173.88,156.1,172.55
01 March 2015,174.8,182,156.8,163.31
01 April 2015,162.8,172.8,154.53,167.96
01 May 2015,170,176.96,157.8,176.52
01 June 2015,177,179.4,158.9,168.6
01 July 2015,169,175.58,156.45,165.74
01 August 2015,165.9,169.19,118,137.9
01 September 2015,135.61,155.5,127,145.92
01 October 2015,146.96,155.94,141.73,151.82
01 November 2015,151.73,157.96,144.03,153.3
01 December 2015,153,154.52,133.71,145.23
01 January 2016,145,149.9,126.45,149.38
01 February 2016,150.4,157.85,132.74,137.67
01 March 2016,138.8,175.12,138.35,172.91
01 April 2016,172.02,190.44,165.33,188.73
01 May 2016,189.8,209,181.28,206.39
01 June 2016,206.4,223,201.14,221.3
01 July 2016,221.96,247.18,221.35,243.44
01 August 2016,244,275,240.68,272.56
01 September 2016,273.3,290,231.2,250.85
01 October 2016,253.41,265.5,245.8,253.52
01 November 2016,255,262.72,219.1,234.28
01 December 2016,235.4,245,218.25,231.26
01 January 2017,231.98,284.31,226.3,279.1
01 February 2017,280.4,294.19,275.61,290.56
01 March 2017,290.6,311.57,283.6,309.82
01 April 2017,309.6,330.58,300.2,326.14
01 May 2017,326,330.3,275.15,286.38
01 June 2017,286.66,306.34,280.21,292.37
01 July 2017,293.04,372,290.78,361.96
01 August 2017,363,368.52,337.37,351.15
01 September 2017,351,383.25,345.5,350
01 October 2017,354.6,375.75,299,314.35
01 November 2017,315.5,329.8,296,306.8
01 December 2017,307.2,319,300.65,315.05
01 January 2018,314,366,307.35,354.45
01 February 2018,355,366.5,304.65,322.25
01 March 2018,320.7,325.8,285.1,304.9
01 April 2018,305,368.75,303.3,362.05
01 May 2018,362.85,364.4,325.7,346.2
01 June 2018,348,350.1,327.35,339.6
01 July 2018,340,393.35,332.45,367.9
01 August 2018,369.95,404,338,343.4
01 September 2018,347.2,350,166.15,183.45
01 October 2018,180,268.45,168.6,188.05
01 November 2018,192,231.4,147,169.65
01 December 2018,174,194.3,160.2,181.75
01 January 2019,182.85,236.3,181.15,194.3
01 February 2019,197,236.9,167.65,231.2
01 March 2019,234.6,281.3,228.8,275.05
01 April 2019,277,285.9,165.3,168
01 May 2019,163.3,178.05,133.05,147.95
01 June 2019,147.95,153.8,98.75,108.7
01 July 2019,109.6,110.6,81.75,91.3
01 August 2019,89.2,92.4,53.15,59.5
01 September 2019,59.5,72.55,40.95,41.45
01 October 2019,42,76.65,29.05,70.45
01 November 2019,71,75.35,59.95,68.3
01 December 2019,70,70.5,40.7,46.95
01 January 2020,46.9,48.5,36.55,39.2
01 February 2020,39.1,40.7,33.6,34.55
01 March 2020,35.2,87.95,5.55,22.45
01 April 2020,22.3,30.45,20.3,27.95
01 May 2020,27.8,31.6,25.2,26.85
01 June 2020,27.75,31.95,25.55,25.6
01 July 2020,25.6,28.3,11.1,11.95
01 August 2020,12,17.16,11.85,14.37
01 September 2020,14.3,15.34,12.75,13.15
01 October 2020,13.3,14.01,12.11,12.42
01 November 2020,12.41,14.9,12.21,14.67
